(honor) PS C:\Users\hengr\Programs\Projects\CPINN\Poisson> python .\train_1Dis_CGD.py
True
cuda
PINN_Poisson_2d(
  (activation): Tanh()
  (loss_function): MSELoss()
  (linears): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
    (3): Linear(in_features=50, out_features=1, bias=True)
  )
)
Discriminator(
  (map): Sequential(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1): ReLU()
    (2): Linear(in_features=50, out_features=50, bias=True)
    (3): ReLU()
    (4): Linear(in_features=50, out_features=50, bias=True)
    (5): ReLU()
    (6): Linear(in_features=50, out_features=50, bias=True)
    (7): ReLU()
    (8): Linear(in_features=50, out_features=2, bias=True)
  )
)
PINN_Poisson_2d(
  (activation): Tanh()
  (loss_function): MSELoss()
  (linears): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
    (3): Linear(in_features=50, out_features=1, bias=True)
  )
)
Discriminator(
  (map): Sequential(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1): ReLU()
    (2): Linear(in_features=50, out_features=50, bias=True)
    (3): ReLU()
    (4): Linear(in_features=50, out_features=50, bias=True)
    (5): ReLU()
    (6): Linear(in_features=50, out_features=50, bias=True)
    (7): ReLU()
    (8): Linear(in_features=50, out_features=2, bias=True)
  )
)
22500/60001 PDE Loss: 0.00110, BC Loss: 0.00017,                   mse loss: 0.001270, nn loss: 0.000684
23000/60001 PDE Loss: 0.00096, BC Loss: 0.00016,                   mse loss: 0.001121, nn loss: 0.000617
23500/60001 PDE Loss: 0.00087, BC Loss: 0.00023,                   mse loss: 0.001101, nn loss: 0.000582
24000/60001 PDE Loss: 0.00079, BC Loss: 0.00026,                   mse loss: 0.001056, nn loss: 0.000635
24500/60001 PDE Loss: 0.00077, BC Loss: 0.00028,                   mse loss: 0.001056, nn loss: 0.000736
25000/60001 PDE Loss: 0.00073, BC Loss: 0.00025,                   mse loss: 0.000980, nn loss: 0.000814
25500/60001 PDE Loss: 0.00069, BC Loss: 0.00019,                   mse loss: 0.000875, nn loss: 0.000862
26000/60001 PDE Loss: 0.00064, BC Loss: 0.00013,                   mse loss: 0.000775, nn loss: 0.000884
26500/60001 PDE Loss: 0.00059, BC Loss: 0.00010,                   mse loss: 0.000688, nn loss: 0.000897
27000/60001 PDE Loss: 0.00053, BC Loss: 0.00008,                   mse loss: 0.000616, nn loss: 0.000901
27500/60001 PDE Loss: 0.00048, BC Loss: 0.00007,                   mse loss: 0.000555, nn loss: 0.000901
28000/60001 PDE Loss: 0.00043, BC Loss: 0.00007,                   mse loss: 0.000504, nn loss: 0.000901
28500/60001 PDE Loss: 0.00039, BC Loss: 0.00007,                   mse loss: 0.000453, nn loss: 0.000904
29000/60001 PDE Loss: 0.00035, BC Loss: 0.00007,                   mse loss: 0.000419, nn loss: 0.000895
29500/60001 PDE Loss: 0.00033, BC Loss: 0.00007,                   mse loss: 0.000393, nn loss: 0.000878
30000/60001 PDE Loss: 0.00030, BC Loss: 0.00006,                   mse loss: 0.000362, nn loss: 0.000859
30500/60001 PDE Loss: 0.00028, BC Loss: 0.00006,                   mse loss: 0.000341, nn loss: 0.000846
31000/60001 PDE Loss: 0.00027, BC Loss: 0.00006,                   mse loss: 0.000324, nn loss: 0.000834
31500/60001 PDE Loss: 0.00025, BC Loss: 0.00005,                   mse loss: 0.000307, nn loss: 0.000819
32000/60001 PDE Loss: 0.00024, BC Loss: 0.00005,                   mse loss: 0.000287, nn loss: 0.000801
32500/60001 PDE Loss: 0.00023, BC Loss: 0.00005,                   mse loss: 0.000271, nn loss: 0.000781
33000/60001 PDE Loss: 0.00022, BC Loss: 0.00004,                   mse loss: 0.000259, nn loss: 0.000759
33500/60001 PDE Loss: 0.00021, BC Loss: 0.00004,                   mse loss: 0.000247, nn loss: 0.000736
34000/60001 PDE Loss: 0.00020, BC Loss: 0.00004,                   mse loss: 0.000235, nn loss: 0.000715
34500/60001 PDE Loss: 0.00019, BC Loss: 0.00004,                   mse loss: 0.000226, nn loss: 0.000697
35000/60001 PDE Loss: 0.00019, BC Loss: 0.00003,                   mse loss: 0.000221, nn loss: 0.000682
35500/60001 PDE Loss: 0.00018, BC Loss: 0.00003,                   mse loss: 0.000215, nn loss: 0.000668
36000/60001 PDE Loss: 0.00018, BC Loss: 0.00003,                   mse loss: 0.000210, nn loss: 0.000657
36500/60001 PDE Loss: 0.00017, BC Loss: 0.00003,                   mse loss: 0.000205, nn loss: 0.000647
37000/60001 PDE Loss: 0.00017, BC Loss: 0.00003,                   mse loss: 0.000199, nn loss: 0.000638
37500/60001 PDE Loss: 0.00016, BC Loss: 0.00003,                   mse loss: 0.000194, nn loss: 0.000630
38000/60001 PDE Loss: 0.00016, BC Loss: 0.00003,                   mse loss: 0.000189, nn loss: 0.000622
38500/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000185, nn loss: 0.000612
39000/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000181, nn loss: 0.000602
39500/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000177, nn loss: 0.000590
40000/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000175, nn loss: 0.000578
40500/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000174, nn loss: 0.000565
41000/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000174, nn loss: 0.000552
41500/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000173, nn loss: 0.000540
42000/60001 PDE Loss: 0.00015, BC Loss: 0.00003,                   mse loss: 0.000173, nn loss: 0.000528
42500/60001 PDE Loss: 0.00015, BC Loss: 0.00002,                   mse loss: 0.000174, nn loss: 0.000516
43000/60001 PDE Loss: 0.00015, BC Loss: 0.00002,                   mse loss: 0.000176, nn loss: 0.000504
43500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000178, nn loss: 0.000494
44000/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000180, nn loss: 0.000486
44500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000181, nn loss: 0.000478
45000/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000183, nn loss: 0.000474
45500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000183, nn loss: 0.000472
46000/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000184, nn loss: 0.000470
46500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000184, nn loss: 0.000471
47000/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000184, nn loss: 0.000473
47500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000182, nn loss: 0.000478
48000/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000180, nn loss: 0.000483
48500/60001 PDE Loss: 0.00016, BC Loss: 0.00002,                   mse loss: 0.000178, nn loss: 0.000486
49000/60001 PDE Loss: 0.00015, BC Loss: 0.00002,                   mse loss: 0.000172, nn loss: 0.000488
49500/60001 PDE Loss: 0.00015, BC Loss: 0.00002,                   mse loss: 0.000168, nn loss: 0.000488
50000/60001 PDE Loss: 0.00014, BC Loss: 0.00002,                   mse loss: 0.000162, nn loss: 0.000485
50500/60001 PDE Loss: 0.00014, BC Loss: 0.00002,                   mse loss: 0.000158, nn loss: 0.000483
51000/60001 PDE Loss: 0.00013, BC Loss: 0.00002,                   mse loss: 0.000154, nn loss: 0.000479
51500/60001 PDE Loss: 0.00013, BC Loss: 0.00002,                   mse loss: 0.000150, nn loss: 0.000476
52000/60001 PDE Loss: 0.00013, BC Loss: 0.00002,                   mse loss: 0.000147, nn loss: 0.000474
52500/60001 PDE Loss: 0.00012, BC Loss: 0.00002,                   mse loss: 0.000142, nn loss: 0.000475
53000/60001 PDE Loss: 0.00012, BC Loss: 0.00002,                   mse loss: 0.000137, nn loss: 0.000477
53500/60001 PDE Loss: 0.00011, BC Loss: 0.00002,                   mse loss: 0.000130, nn loss: 0.000479
54000/60001 PDE Loss: 0.00011, BC Loss: 0.00001,                   mse loss: 0.000122, nn loss: 0.000477
54500/60001 PDE Loss: 0.00010, BC Loss: 0.00001,                   mse loss: 0.000114, nn loss: 0.000475
55000/60001 PDE Loss: 0.00009, BC Loss: 0.00001,                   mse loss: 0.000106, nn loss: 0.000471
55500/60001 PDE Loss: 0.00009, BC Loss: 0.00001,                   mse loss: 0.000099, nn loss: 0.000465
56000/60001 PDE Loss: 0.00008, BC Loss: 0.00001,                   mse loss: 0.000093, nn loss: 0.000457
56500/60001 PDE Loss: 0.00008, BC Loss: 0.00001,                   mse loss: 0.000089, nn loss: 0.000448
57000/60001 PDE Loss: 0.00008, BC Loss: 0.00001,                   mse loss: 0.000086, nn loss: 0.000439
57500/60001 PDE Loss: 0.00008, BC Loss: 0.00001,                   mse loss: 0.000083, nn loss: 0.000431
58000/60001 PDE Loss: 0.00008, BC Loss: 0.00001,                   mse loss: 0.000082, nn loss: 0.000423
58500/60001 PDE Loss: 0.00008, BC Loss: 0.00000,                   mse loss: 0.000080, nn loss: 0.000416
59000/60001 PDE Loss: 0.00007, BC Loss: 0.00000,                   mse loss: 0.000077, nn loss: 0.000408
59500/60001 PDE Loss: 0.00007, BC Loss: 0.00000,                   mse loss: 0.000073, nn loss: 0.000400
60000/60001 PDE Loss: 0.00007, BC Loss: 0.00000,                   mse loss: 0.000071, nn loss: 0.000391
finish
